106	Dual dialogue, left column
107	Dual dialogue, right column
108	Select unit to display
109	Customize Structural Checklist
111	Change the type of the current paragraph
112	Assign a thread to the current step
113	Single column dialogue
114	Determine start of production for current unit
115	Select chart
120	Sophocles Beta
4533	Software\%s\%s\Settings
4534	%u,%u,%d,%d,%d,%d,%d,%d,%d,%d
4535	BarID
4536	Settings
4537	Bar Position
4538	Window Position
4539	Recent Item List
4540	Item%d
4541	%s-Bar%d
4542	Column Info
4543	Name
4544	Size
4545	Contract docked window
4546	Type
4547	Modified
4548	Warning: This program requires comctl32.dll version 4.71 or greater.
4549	Automatic
4550	Customize...
4555	Select Directory:
4556	Dock Window
4557	ERROR: Not all of the resources needed by Xtreme Toolkit have been correctly initialized.
4558	Toolbar
4559	The toolbar name cannot be blank. Type a name.
4560	Status Bar
4561	A toolbar named '%s' already exists. Type another name.
4562	Sorry you have reached your limit.
4563	Custom %d
4564	Are you sure you want to delete the '%s' toolbar?
4565	...
4566	No help topic is associated with this item.
4567	*.*
4568	All Files (*.*)|*.*||
4569	Choose Directory Name:
4570	Click push pin to keep open
4571	The operating system is out of memory or resources.
4572	The specified file was not found.
4573	The specified path was not found.
4574	The operating system denied access to the specified file.
4575	There was not enough memory to complete the operation.
4576	The .exe file is invalid (non-Win32® .exe or error in .exe image).
4577	A sharing violation occurred.
4578	The file name association is incomplete or invalid.
4579	The DDE transaction could not be completed because the request timed out.
4580	The DDE transaction failed.
4581	The DDE transaction could not be completed because other DDE transactions were being processed.
4582	There is no application associated with the given file name extension.
4583	The specified dynamic-link library was not found.
4584	An unknown error number %d occured.
4585	Close
4586	Black
4587	Brown
4588	Olive Green
4589	Dark Green
4590	Dark Teal
4591	Dark Blue
4592	Indigo
4593	Gray-80%
4594	Dark Red
4595	Orange
4596	Dark Yellow
4597	Green
4598	Teal
4599	Blue
4600	Blue Gray
4601	Gray-50%
4602	Red
4603	Light Orange
4604	Lime
4605	Sea Green
4606	Aqua
4607	Light Blue
4608	Violet
4609	Gray-40%
4610	Pink
4611	Gold
4612	Yellow
4613	Bright Green
4614	Turquiose
4615	Sky Blue
4616	Plum
4617	Gray-25%
4618	Rose
4619	Tan
4620	Light Yellow
4621	Light Green
4622	Light Turquoise
4623	Pale Blue
4624	Lavender
4625	White
4626	Gray
4627	Maroon
4628	Olive
4629	Navy
4630	Purple
4631	Silver
4632	Fuchsia
4633	No Fill
4634	No Color
4635	Automatic
4636	Automatic Color
4637	More Colors...
4638	More Colors
4639	Standard Colors
4640	Tip Text
4641	Did you know...
4642	Tips file does not exist in the prescribed directory
4643	Trouble reading the tips file
4644	Menu Bar
4645	Control Bar
